workbook,sheet_name,rows,columns,nonempty_rows,read_status,sample_first_nonempty_rows
Qi2.xls,ATI,31,9,31,readable,Average of TimeInformed | PercentInformed |  |  |  |  |  |  || FreewayServiceRate | 0.0 | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 | 1.0 || 2.0 |  | 2.79328585311029 | 2.842521771131512 | 2.917406700023005 | 2.9205719315624474 | 2.920004126953727 | 2.9237399506460933
Qi2.xls,ATU,32,9,31,readable,Average of TimeUninformed | PercentInformed |  |  |  |  |  |  || FreewayServiceRate | 0.0 | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 | 1.0 || 2.0 | 3.95611599698547 | 3.6512006212566384 | 3.593360304984196 | 3.448386986511891 | 3.4104617533722665 | 3.3337132862623067 | 
Qi2.xls,ATO,31,9,31,readable,Average of TimeOverall | PercentInformed |  |  |  |  |  |  || FreewayServiceRate | 0.0 | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 | 1.0 || 2.0 |  | 3.222243237183464 | 3.217941038057854 | 3.1828968432674483 | 3.165516842467357 | 3.126858706608017 | 
Qi2.xls,T%I,31,9,31,readable,Average of Informed%Savings | PercentInformed |  |  |  |  |  |  || FreewayServiceRate | 0.0 | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 | 1.0 || 2.0 |  | 0.29393226709258463 | 0.28148674778558264 | 0.2625578465732434 | 0.26175776094838954 | 0.2619012867219394 | 0.2609569707071378
Qi2.xls,T%U,31,9,31,readable,Average of Uninformed%Savings | PercentInformed |  |  |  |  |  |  || FreewayServiceRate | 0.0 | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 | 1.0 || 2.0 | 0.0 | 0.0770744275347777 | 0.09169490790403796 | 0.1283402738596301 | 0.13792675544119223 | 0.15732670912516955 | 
Qi2.xls,SDI,31,9,31,readable,Average of StdDevFwyInformed | PercentInformed |  |  |  |  |  |  || FreewayServiceRate | 0.0 | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 | 1.0 || 2.0 |  | 1.2279399204572328 | 1.241735773804232 | 1.3608692662475714 | 1.3150509192380326 | 1.3258630961210836 | 1.3088120923064883
Qi2.xls,SDU,31,9,31,readable,Average of StdDevFreewayUninformed | PercentInformed |  |  |  |  |  |  || FreewayServiceRate | 0.0 | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 | 1.0 || 2.0 | 2.545859213174254 | 2.0407310257071867 | 1.8503688931250302 | 1.6370557656910416 | 1.5902882256377024 | 1.5185419764490693 | 
Qi2.xls,Summary,85,9,85,readable,FreewayServiceRate | PercentInformed | TimeInformed | TimeUninformed | TimeOverall | Informed%Savings | Uninformed%Savings | StdDevFwyInformed || 20.0 | 1.0 |  |  |  |  |  |  || 20.0 | 0.83 |  |  |  |  |  | 
Qi2.xls,Summary-Rec,121,9,120,readable,Poisson arrival rate | Percent Informed | Time Informed | Time Uninformed | Time Overall | Informed %Savings | Uninformed %Savings | INFORMED STD DEV || 1.05 | 1.0 | 31.682477290100678 |   | 31.682477290100678 | 0.2448971136491106 |   | 16.58708219296725 || 1.05 | 0.83 | 39.18582810795238 | 40.07498372494125 | 39.33609540722351 | 0.06606634205305767 | 0.044874691960304934 | 21.366129263907542
Qi2.xls,RESULTS,88,24,87,readable,Poisson | Freeway | Arterial  | Freeway | Demand | Alternate | Percent | MEAN || arrival rate | Service time mean |  | range | Coefficient | Time | Informed | FREEWAY || (cust/sec) | (sec) |  |  |  | (sec) |  | INFORMED
Qi2.xls,QUEUE,1033,35,1028,readable,"THE VALUE OF INFORMATION: QUEUEING MODEL |  |  |  |  | RESET (1=Y,0=N) | 1.0 |  || Poisson arrival rate (cust/sec) = |  |  | 0.67 |  | ITERATION | 0.0 |  || Freeway Service time mean (sec) = |  |  | 20.0 |  |  |  | "
Qr2.xls,SummaryResults,24,23,21,readable,"THE VALUE OF INFORMATION: QUEUEING MODEL |  |  |  |  | RESET (1=Y,0=N) |  | 0.0 || Poisson arrival rate (cust/sec) = |  |  | 0.667 |  | ITERATION |  | 32.0 || Freeway Service time mean (sec) = |  |  | 2.0 |  |  |  | "
Qr2.xls,AVGTI,40,9,14,readable,Average of Time Informed | Percent Informed |  |  |  |  |  |  || Poisson arrival rate | 0.0 | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 | 1.0 || 0.5 | 7 | 2.3638826861638083 | 2.3869526183046843 | 2.3927280248824214 | 2.4089202455100285 | 2.4101213511264854 | 2.4227643532675165
Qr2.xls,AVGTU,41,9,14,readable,Average of Time Uninformed | Percent Informed |  |  |  |  |  |  || Poisson arrival rate | 0.0 | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 | 1.0 || 0.5 | 2.9974142667434496 | 2.9038331495502905 | 2.8588484796445925 | 2.79862805210524 | 2.770604032428222 | 2.737311993475481 | 7
Qr2.xls,AVGTO,40,10,15,readable,Average of Time Overall | Percent Informed |  |  |  |  |  |  || Poisson arrival rate | 0.0 | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 | 1.0 || 0.5 | 2.9974142667434496 | 2.811483104281354 | 2.703474511208093 | 2.594432081435865 | 2.5281389557712743 | 2.4660736366555964 | 2.4227643532675165
Qr2.xls,STDI,16,9,15,readable,Average of INFORMED STD DEV | Percent Informed |  |  |  |  |  |  || Poisson arrival rate | 0.0 | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 | 1.0 || 0.5 | 0.0 | 0.7619531595104698 | 0.7947612731070478 | 0.7920506801464505 | 0.796222903885362 | 0.797799373443601 | 0.8120229600152644
Qr2.xls,STDU,18,9,16,readable,Average of UNINFORMED STD DEV | Percent Informed |  |  |  |  |  |  || Poisson arrival rate | 0.0 | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 | 1.0 || 0.5 | 1.503273692259029 | 1.3708948780255683 | 1.241773689472461 | 1.1424538008888308 | 1.09040739912939 | 1.0228906418734576 | 0.0
Qr2.xls,DELTASTD,12,11,9,readable, | Percent Informed |  |  |  |  |  |  ||  |   | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 |  ||  | 0.5 | -0.6089417185150985 | -0.4470124163654131 | -0.3504031207423802 | -0.2941844952440281 | -0.2250912684298566 | 
Qr2.xls,TSI,14,9,14,readable,Average of Informed %Savings | Percent Informed |  |  |  |  |  |  || Poisson arrival rate | 0.0 | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 | 1.0 || 0.5 | 7 | 0.21135812532282228 | 0.20366357143158267 | 0.20173583414575305 | 0.19633417882856805 | 0.19593054772541155 | 0.19171409015645993
Qr2.xls,TSU,16,9,14,readable,Average of Uninformed %Savings | Percent Informed |  |  |  |  |  |  || Poisson arrival rate | 0.0 | 0.17 | 0.33 | 0.5 | 0.67 | 0.83 | 1.0 || 0.5 |  | 0.031222476815810262 | 0.04622930519082863 | 0.06631775271150603 | 0.07566852589718749 | 0.08677417505930317 | 7
Qr2.xls,Summary,121,9,120,readable,Poisson arrival rate | Percent Informed | Time Informed | Time Uninformed | Time Overall | Informed %Savings | Uninformed %Savings | INFORMED STD DEV || 1.05 | 1.0 | 31.682477290100678 |   | 31.682477290100678 | 0.2448971136491106 |   | 16.58708219296725 || 1.05 | 0.83 | 39.18582810795238 | 40.07498372494125 | 39.33609540722351 | 0.06606634205305767 | 0.044874691960304934 | 21.366129263907542
Qr2.xls,RESULTS,139,24,133,readable,Poisson | Freeway | Arterial  | Freeway | Demand | Alternate | Percent | MEAN || arrival rate | Service time mean |  | range | Coefficient | Time | Informed | FREEWAY || (cust/sec) | (sec) |  |  |  | (sec) |  | INFORMED
Qr2.xls,Sheet3,1091,9,1055,readable,Time | Arrived | Departed | Time | CumArrival | CumDeparture | Time | DifferencedCumArrivals || 5.0 | 6.0 | 3.0 | 5.0 | 6.0 | 3.0 | 5.0 | 1.25 || 10.0 | 8.0 | 3.0 | 10.0 | 14.0 | 6.0 | 10.0 | 4.5
Qr2.xls,Sheet4,204,3,204,readable,Time | Frequency | Cumulative % || 5.0 | 3.0 | 0.003 || 10.0 | 3.0 | 0.006
Qr2.xls,Sheet1,1033,6,1025,readable,THE VALUE OF INFORMATION: QUEUEING MODEL |  |  |  |  |  || Poisson arrival rate (cust/sec) = | 0.95 |  |  |  |  || Freeway Service time mean (sec) = | 2.0 |  |  |  | 
Qr2.xls,HistoQ,8,7,8,readable,-1 | 0.95 | Cumulative % |  | -1 | 1.05 | Cumulative % || 0.0 | 357.0 | 0.357 |  | 0.0 | 309.0 | 0.309 || 1.0 | 430.0 | 0.787 |  | 1.0 | 454.0 | 0.763
Qr2.xls,Sheet5,1033,46,1028,readable,"THE VALUE OF INFORMATION: QUEUEING MODEL |  |  |  |  | RESET (1=Y,0=N) | 0.0 |  || Poisson arrival rate (cust/sec) = |  |  | 0.95 |  | ITERATION | 48.0 |  || Freeway Service time mean (sec) = |  |  | 2.0 |  |  |  | "
Qr2.xls,QUEUE,,,,unreadable_sheet_record: error: unpack requires a buffer of 8 bytes,
